147.78.246.195:30580#JP xTom
38.147.187.174:20075#HK XNNET
149.104.22.115:36868#HK XNNET
206.237.2.124:21975#HK XNNET
154.17.224.10:57496#US 汇聚
104.194.84.243:443#US 汇聚
64.64.229.220:22446#US 汇聚
173.242.123.189:51042#US 汇聚
173.242.114.185:56010#US 汇聚
129.150.62.252:54774#SG 汇聚
152.69.219.32:443#SG 汇聚
168.138.184.172:443#SG 汇聚
129.150.32.171:6443#SG 汇聚
138.2.95.33:17465#SG 汇聚
138.2.12.10:45805#JP 汇聚
64.110.101.125:443#JP 汇聚
20.78.8.44:31593#JP 汇聚
158.101.154.245:41003#JP 汇聚
138.3.215.231:44784#JP 汇聚
